Year,Cases
1980,2331
1981,2208
1982,2113
1983,2107
1984,1799
1985,1797
1986,1953
1987,1745
1988,1618
1989,1712
1990,1635
1991,1634
1992,1591
1993,1593
1994,1514
1995,1291
1996,1302
1997,1216
1998,1165
1999,1035
2000,1095
2001,1023
2002,1078
2003,1067
2004,1069
2005,1051
2006,1028
2007,1047
2008,936
2009,1055
2010,971
2011,962
2012,984
2013,944
2014,989
